"domain","division","category","brand","name","price","score","reviewCnt","image","link","weight","unit"
수산물/건해산,건오징어/건어물/다시팩,연어/등심,없음,[냉장][노르웨이] SSG 항공직송 프로야 연어 등심 (180g),16800,4.8,3479,https://sitem.ssgcdn.com/85/43/15/item/1000633154385_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633154385&siteNo=7009&salestrNo=2551,180,g
수산물/건해산,건오징어/건어물/다시팩,육수,청해명가,황금레시피 육수한알(더 진한맛)120g(4g*30알),11500,4.8,2557,https://sitem.ssgcdn.com/14/06/19/item/1000632190614_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632190614&siteNo=7009&salestrNo=2551,120,g
수산물/건해산,건오징어/건어물/다시팩,육수,청해명가,황금 비율 바지락 멸치 육수한알 (25개),13500,4.7,718,https://sitem.ssgcdn.com/13/06/19/item/1000632190613_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632190613&siteNo=7009&salestrNo=2551,500,g
수산물/건해산,건오징어/건어물/다시팩,다시팩,없음,[국산] 멸치 천연 다시팩 (16g*10팩 총 160g),11800,4.8,2517,https://sitem.ssgcdn.com/71/69/49/item/1000632496971_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632496971&siteNo=7009&salestrNo=2551,160,g
수산물/건해산,멸치/황태/노가리,멸치,청해명가,[국산의힘] 짜지않아 맛있는 삼천포멸치 300g,12980,4.8,5104,https://sitem.ssgcdn.com/03/82/02/item/1000049028203_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000049028203&siteNo=6001&salestrNo=2037,300,g
수산물/건해산,멸치/황태/노가리,멸치,청해명가,[국산] 멸치 (볶음용) (500g),18800,4.8,7820,https://sitem.ssgcdn.com/73/69/49/item/1000632496973_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632496973&siteNo=7009&salestrNo=2551,500,g
수산물/건해산,멸치/황태/노가리,멸치,청해명가,짠맛을 줄인 어린이멸치 130g,7980,4.8,3965,https://sitem.ssgcdn.com/43/44/49/item/1000025494443_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000025494443&siteNo=6001&salestrNo=2037,130,g
수산물/건해산,멸치/황태/노가리,멸치,청해명가,[국산] 짜지않은 어린이 멸치 (볶음용) (130g),12900,4.8,4209,https://sitem.ssgcdn.com/15/46/78/item/1000632784615_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632784615&siteNo=7009&salestrNo=2551,130,g
수산물/건해산,멸치/황태/노가리,멸치,풀무원,"3분간편 통영멸치 볶음 만들기 (220g)",7980,4.8,357,https://sitem.ssgcdn.com/94/94/75/item/1000619759494_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000619759494&siteNo=6001&salestrNo=2037,220,g
수산물/건해산,멸치/황태/노가리,황태,없음,황태채 400g,21980,4.8,7357,https://sitem.ssgcdn.com/46/38/80/item/0000006803846_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=0000006803846&siteNo=6001&salestrNo=2037,400,g
